jobName,salary,welfare,url,city_display,company,company_size,company_type,emplType,eduLevel,updateDate,workingExp
java中级开发工程师,9K-13K,"五险一金,年底双薪,绩效奖金,股票期权,带薪年假",https://jobs.zhaopin.com/CC502581238J00202159104.htm,武汉,光谷金信(武汉)科技有限公司,20-99人,民营,全职,本科,2019-05-17 00:51:57,3-5年
java工程师,20K-30K,"五险一金,周末双休,年底双薪,绩效奖金,带薪年假",https://jobs.zhaopin.com/CC567455181J00152279013.htm,北京,北京尚医智信健康管理有限公司,100-499人,民营,全职,本科,2019-05-17 15:10:03,5-10年
Java初级工程师,4K-7K,"五险一金,年底双薪,绩效奖金,加班补助,餐补",https://jobs.zhaopin.com/460365681250000.htm,济南,济南格鲁伯软件有限公司,20-99人,合资,全职,大专,2019-05-17 15:41:46,1-3年
软件工程师.net java ,6K-8K,"五险一金,年底双薪,绩效奖金,年终分红,餐补",https://jobs.zhaopin.com/CC438165414J00135665215.htm,天津,大通航(天津)物流有限公司,100-499人,合资,全职,大专,2019-05-17 15:29:31,3-5年
java开发工程师,6K-8K,"五险一金,绩效奖金,年终分红,交通补助,通讯补助",https://jobs.zhaopin.com/CC408777814J00026339909.htm,郑州,郑州天启自动化系统有限公司,20-99人,民营,全职,本科,2019-05-17 00:50:18,1-3年
java开发工程师,10K-20K,"节日福利,五险一金,带薪年假,弹性工作",https://jobs.zhaopin.com/CC293360938J00213359806.htm,深圳,深圳万普瑞邦技术有限公司,100-499人,民营,全职,大专,2019-05-17 15:29:30,3-5年
软件开发项目经理（Java）,8K-15K,"五险一金,年底双薪,包住,带薪年假,节日福利",https://jobs.zhaopin.com/CC327200611J00248806106.htm,郑州,河南英威达科技有限公司,20-99人,民营,全职,本科,2019-05-17 15:20:08,5-10年
java软件工程师,5K-10K,,https://jobs.zhaopin.com/CZ787878270J00026018215.htm,北京,北京睿智欣泰科技有限责任公司,20-99人,民营,全职,本科,2019-05-17 00:52:24,1-3年
高级Java开发工程师,10K-15K,"五险一金,绩效奖金,年底双薪,带薪年假,定期体检",https://jobs.zhaopin.com/CZ378684380J00241114807.htm,深圳,深圳市筑泰防务智能科技有限公司,100-499人,民营,全职,本科,2019-05-17 15:14:28,1-3年
java工程师,10K-15K,"五险一金,绩效奖金,加班补助,交通补助,带薪年假",https://jobs.zhaopin.com/CZ489750880J00368031501.htm,深圳,深圳楚星软件有限公司,20-99人,民营,全职,大专,2019-05-17 15:09:40,3-5年
中高级java软件开发工程师,15K-20K,"五险一金,加班补助,带薪年假,节日福利,周末双休",https://jobs.zhaopin.com/CC120817715J00160261311.htm,上海,纬创软件 (上海),1000-9999人,港澳台公司,全职,本科,2019-05-17 00:52:57,3-5年
java开发工程师,8K-13K,"五险一金,绩效奖金,节日福利",https://jobs.zhaopin.com/CC455107634J00153609104.htm,天津,四川蜀宁科技有限公司,20-99人,民营,全职,大专,2019-05-17 15:22:00,3-5年
高级Java工程师,7K-12K,"五险一金,年底双薪,绩效奖金,交通补助,餐补",https://jobs.zhaopin.com/CC175313726J00264046305.htm,合肥,安徽龙讯信息科技有限公司,100-499人,民营,全职,本科,2019-05-17 00:51:03,3-5年
JAVA软件开发带薪实习生（包住宿+双休）,6K-8K,"14薪,每年多次调薪,周末双休,五险一金,年底双薪",https://jobs.zhaopin.com/CZ810209490J00066968311.htm,邯郸,河北鹿宸网络科技有限公司,20-99人,民营,全职,大专,2019-05-17 16:04:55,不限
高级java工程师,10K-15K,"五险一金,年底双薪,绩效奖金,加班补助,餐补",https://jobs.zhaopin.com/CZ818339480J00340771305.htm,广州,广州麟克软件有限公司,100-499人,民营,全职,本科,2019-05-17 15:17:20,5-10年
中级java工程师,8K-12K,"五险一金,定期体检,创业公司,周末双休,项目奖金",https://jobs.zhaopin.com/CC869358390J00257031308.htm,合肥,安徽云铭科技有限公司,20人以下,民营,全职,本科,2019-05-17 15:26:45,1-3年
对日Java开发工程师(初级、中级）,4K-6K,"五险一金,节日福利,交通补助,带薪年假,加班补助",https://jobs.zhaopin.com/CC424157234J00128622404.htm,大连,大连高仕科技有限公司,20-99人,股份制企业,全职,大专,2019-05-17 14:50:01,1-3年
java软件工程师,10K-15K,"五险一金,绩效奖金,加班补助,交通补助,带薪年假",https://jobs.zhaopin.com/CZ489750880J00368041701.htm,深圳,深圳楚星软件有限公司,20-99人,民营,全职,大专,2019-05-17 15:09:40,3-5年
中高级java开发工程师,15K-20K,"五险一金,加班补助,带薪年假,节日福利,周末双休",https://jobs.zhaopin.com/CC120817715J00160262811.htm,上海,纬创软件 (上海),1000-9999人,港澳台公司,全职,本科,2019-05-17 00:52:57,3-5年
高级开发工程师java,8K-15K,"五险一金,年底双薪,包住,带薪年假,节日福利",https://jobs.zhaopin.com/CC327200611J00248809906.htm,郑州,河南英威达科技有限公司,20-99人,民营,全职,本科,2019-05-17 15:20:07,5-10年
java开发工程师/高级JAVA开发 底薪+提成,6K-8K,"创业公司,绩效奖金,股票期权,弹性工作",https://jobs.zhaopin.com/CC576722829J00316618503.htm,深圳,深圳市华品信电子科技有限公司,20人以下,民营,全职,大专,2019-05-17 15:00:57,1-3年
java高级开发工程师,15K-30K,"创业公司,周末双休,交通补助,餐补,通讯补助",https://jobs.zhaopin.com/CC372279282J00144585101.htm,南京,南京积生活电子商务有限公司,100-499人,股份制企业,全职,大专,2019-05-17 15:22:31,5-10年
